name,link
None,https://www.ebay.com/globaldeals?_trkparms=pageci%3Ac08790de-c996-11ec-b7a9-46d5eb69bccd%7Cparentrq%3A818da4f11800ad390fa6e641fff4fdf0%7Ciid%3A2
None,https://www.ebay.com/b/Apple/bn_21819543
None,https://www.ebay.com/b/Samsung/bn_21834655
None,https://www.ebay.com/b/Sony/bn_21835731
None,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Ugreen&_blrs=spell_auto_correct
None,https://www.ebay.com/b/Xiaomi/bn_21838783
None,https://www.ebay.com/b/Nike/bn_21831651
None,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Born+Pretty&_sacat=0
None,https://www.ebay.com/globaldeals?_trkparms=pageci%3Ac08790de-c996-11ec-b7a9-46d5eb69bccd%7Cparentrq%3A818da4f11800ad390fa6e641fff4fdf0%7Ciid%3A4
None,https://www.ebay.com/globaldeals?_trkparms=pageci%3Ac08790de-c996-11ec-b7a9-46d5eb69bccd%7Cparentrq%3A818da4f11800ad390fa6e641fff4fdf0%7Ciid%3A4
None,https://www.ebay.com/b/Retail-Campaign/bn_7116433159
None,https://www.ebay.com/b/Korean-Health-and-Beauty/bn_7116437158
None,https://www.ebay.com/b/Wristwatches/31387/bn_2408451
None,https://www.ebay.com/b/Fishing-Equipment-Supplies/1492/bn_1851047
None,https://www.ebay.com/b/Collectibles-Art/bn_7000259855
None,https://www.ebay.com/b/Cell-Phones-Smart-Watches-Accessories/15032/bn_1865441
None,https://export.ebay.com/ru
None,https://www.ebay.com/globaldeals?_trkparms=pageci%3Ac08790de-c996-11ec-b7a9-46d5eb69bccd%7Cparentrq%3A818da4f11800ad390fa6e641fff4fdf0%7Ciid%3A1
None,https://www.ebay.com/globaldeals?_trkparms=pageci%3Ac08790de-c996-11ec-b7a9-46d5eb69bccd%7Cparentrq%3A818da4f11800ad390fa6e641fff4fdf0%7Ciid%3A1
